Title,Link,AuthorProfiles,DearOfPublication,DateOfPublication
A revisit to the role of gender in moderating the effect of emotional intelligence on leadership effectiveness: A study from Egypt,https://pureportal.coventry.ac.uk/en/publications/a-revisit-to-the-role-of-gender-in-moderating-the-effect-of-emoti,"[{""name"": ""Ayoubi, R."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi""}, {""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,21 May 2023
Becoming Nigerian,https://pureportal.coventry.ac.uk/en/publications/becoming-nigerian,"[{""name"": ""Johnson, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson""}, {""name"": ""Ezeonyeka, G."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/godswill-ezeonyeka""}]",,25 Mar 2023
Between sameness and difference: challenges for TNE,https://pureportal.coventry.ac.uk/en/publications/between-sameness-and-difference-challenges-for-tne,"[{""name"": ""Dang, Q."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/que-anh-dang""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,11 Mar 2023
Coming out of the shadows: Investing in English private tutoring at a transition point in Kazakhstan’s education system during the global pandemic,https://pureportal.coventry.ac.uk/en/publications/coming-out-of-the-shadows-investing-in-english-private-tutoring-a,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,29 May 2023
Foreword,https://pureportal.coventry.ac.uk/en/publications/foreword-2,"[{""name"": ""Orsini-Jones, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones""}]",,1 May 2023
Fostering a culture of qualitative research and scholarly publication in a leading university in the West Bank: a Palestinian-UK capacity-building collaboration,https://pureportal.coventry.ac.uk/en/publications/fostering-a-culture-of-qualitative-research-and-scholarly-publica,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Angelov, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov""}]",,4 Jul 2023
Getting the measure of remote e-working: a revision and further validation of the E-work life scale,https://pureportal.coventry.ac.uk/en/publications/getting-the-measure-of-remote-e-working-a-revision-and-further-va,"[{""name"": ""Grant, C. A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/christine-grant""}, {""name"": ""Tramontano, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano""}]",,2 Jan 2023
Hacking the Museum: Mandela27 - A Democratic DIY Pop-Up Installation,https://pureportal.coventry.ac.uk/en/publications/hacking-the-museum-mandela27-a-democratic-diy-pop-up-installation,"[{""name"": ""Cawston, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2""}, {""name"": ""Angelov, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov""}]",,16 May 2023
Indonesian 2013 Curriculum Ten Years On: Impact on Mathematics Teaching,https://pureportal.coventry.ac.uk/en/publications/indonesian-2013-curriculum-ten-years-on-impact-on-mathematics-tea,"[{""name"": ""Lawson, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/duncan-lawson""}, {""name"": ""Muhammad, R. R."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad""}, {""name"": ""Aslam, F."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/farzana-aslam""}, {""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,15 Jun 2023
"Interactive Media for Cultural Heritage book: ""From Headsets to Mindsets: A Taxonomy for Human-centred Extended Reality Experimentations for Cultural Heritage.""",https://pureportal.coventry.ac.uk/en/publications/interactive-media-for-cultural-heritage-book-from-headsets-to-min,"[{""name"": ""Cawston, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2""}]",,30 Oct 2023
Measuring student well-being in adolescence: proposal of a five-factor integrative model based on PISA 2018 survey data,https://pureportal.coventry.ac.uk/en/publications/measuring-student-well-being-in-adolescence-proposal-of-a-five-fa,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,3 Jun 2023
'Nordic added value’: a floating signifier and a mechanism for Nordic higher education regionalism,https://pureportal.coventry.ac.uk/en/publications/nordic-added-value-a-floating-signifier-and-a-mechanism-for-nordi,"[{""name"": ""Dang, Q."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/que-anh-dang""}]",,3 Apr 2023
Obituary for Zoltán Dörnyei (1960–2022): a bibliometric mapping of his publications,https://pureportal.coventry.ac.uk/en/publications/obituary-for-zolt%C3%A1n-d%C3%B6rnyei-19602022-a-bibliometric-mapping-of-hi,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,5 Jul 2023
Post-pandemic online mathematics and statistics support: Practitioners’ opinions in Germany and Great Britain & Ireland,https://pureportal.coventry.ac.uk/en/publications/post-pandemic-online-mathematics-and-statistics-support-practitio,"[{""name"": ""Gilbert, H. J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/holly-jade-gilbert""}, {""name"": ""Lawson, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/duncan-lawson""}, {""name"": ""Hodds, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mark-hodds""}]",,19 Mar 2023
Resistant Imagery in Struggles for Justice,https://pureportal.coventry.ac.uk/en/publications/resistant-imagery-in-struggles-for-justice,"[{""name"": ""Fero, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/ken-fero""}]",,26 May 2023
"Self-based goals, underlying reasons, performance and discrete emotions among parkrunners",https://pureportal.coventry.ac.uk/en/publications/self-based-goals-underlying-reasons-performance-and-discrete-emot,"[{""name"": ""Adie, J. W."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/james-adie""}, {""name"": ""Tramontano, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano""}]",,3 Jul 2023
The engaged university: Exploring mutuality and reciprocity between and within communities inside and outside universities through ACES.,https://pureportal.coventry.ac.uk/en/publications/the-engaged-university-exploring-mutuality-and-reciprocity-betwee,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}]",,2023
The impact of Covid-19 on mathematical entry competencies: 1 year on,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-covid-19-on-mathematical-entry-competencies-1-year-,"[{""name"": ""Hodds, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mark-hodds""}]",,18 Jan 2023
"The role of teacher selection criteria and preparation on teacher self-efficacy, satisfaction, and commitment: An analysis of Kazakhstani TALIS data",https://pureportal.coventry.ac.uk/en/publications/the-role-of-teacher-selection-criteria-and-preparation-on-teacher,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,27 May 2023
Throwing light on fee-charging tutoring during the global pandemic in Kazakhstan: implications for the future of higher education,https://pureportal.coventry.ac.uk/en/publications/throwing-light-on-fee-charging-tutoring-during-the-global-pandemi,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,26 Feb 2023
Transformational school leadership: a systematic review of research in a centralized education system,https://pureportal.coventry.ac.uk/en/publications/transformational-school-leadership-a-systematic-review-of-researc,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,23 Jun 2023
Understanding the Academic Achievement of the First- and Second-Generation Immigrant Students: A Multi-level Analysis of PISA 2018 Data,https://pureportal.coventry.ac.uk/en/publications/understanding-the-academic-achievement-of-the-first-and-second-ge,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,May 2023
What does it Mean to be Educated in Nigerian Student Experience?,https://pureportal.coventry.ac.uk/en/publications/what-does-it-mean-to-be-educated-in-nigerian-student-experience,"[{""name"": ""Johnson, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson""}]",,1 Jun 2023
75 Years of Scouting/Guiding Activities in Pakistan - Celebrating the Shared British Heritage of Active Citizenship,https://pureportal.coventry.ac.uk/en/publications/75-years-of-scoutingguiding-activities-in-pakistan-celebrating-th,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,Dec 2022
"A bibliometric mapping of shadow education research: achievements, limitations, and the future",https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-mapping-of-shadow-education-research-achievements-,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,Jun 2022
ACES - A Community-centred Educational Model for Developing Social Resilience,https://pureportal.coventry.ac.uk/en/publications/aces-a-community-centred-educational-model-for-developing-social-,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}]",,6 Sept 2022
"After Carlo Giuliani, After Joy Gardner, After George Floyd – collective memory and radical film'.",https://pureportal.coventry.ac.uk/en/publications/after-carlo-giuliani-after-joy-gardner-after-george-floyd-collect,"[{""name"": ""Fero, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/ken-fero""}]",,15 Jun 2022
Analysing enterprise resources for developing CRM framework in higher education institutions,https://pureportal.coventry.ac.uk/en/publications/analysing-enterprise-resources-for-developing-crm-framework-in-hi,"[{""name"": ""Khashab, B."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/basel-khashab""}, {""name"": ""Ayoubi, R."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi""}]",,24 Nov 2022
A ‘Glocal’  Community of Practice to Support International ELT (English Language Teaching) Students in the UK: Project BMELTET,https://pureportal.coventry.ac.uk/en/publications/a-glocal-community-of-practice-to-support-international-elt-engli,"[{""name"": ""Orsini-Jones, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones""}]",,May 2022
Being All Over the Place and Pulling Oneself Together,https://pureportal.coventry.ac.uk/en/publications/being-all-over-the-place-and-pulling-oneself-together,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,24 May 2022
Being there in a crisis: increasing access to the paramedic profession for BME communities,https://pureportal.coventry.ac.uk/en/publications/being-there-in-a-crisis-increasing-access-to-the-paramedic-profes,"[{""name"": ""Rodrigues Amorim Adegboye, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/amanda-r-a-adegboye""}, {""name"": ""Stuart, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/kim-stuart""}, {""name"": ""Rehling, T."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/tracey-rehling""}, {""name"": ""Gilkes, G."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/gary-gilkes""}, {""name"": ""Carroll, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/julia-carroll""}, {""name"": ""Kneafsey, R."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey""}]",,4 Oct 2022
Changes in student entry competencies 2001 - 2017,https://pureportal.coventry.ac.uk/en/publications/changes-in-student-entry-competencies-2001-2017,"[{""name"": ""Hodds, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mark-hodds""}, {""name"": ""Lawson, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/duncan-lawson""}]",,1 Jun 2022
Critical digital literacy as a key for (post)digital citizenship: an international review of teacher competence frameworks,https://pureportal.coventry.ac.uk/en/publications/critical-digital-literacy-as-a-key-for-postdigital-citizenship-an,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,30 Dec 2022
Curriculum Internationalization and the ‘Decolonizing Academic’,https://pureportal.coventry.ac.uk/en/publications/curriculum-internationalization-and-the-decolonizing-academic,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,10 Nov 2022
Development of autonomy on placement: perceptions of physiotherapy students and educators in Australia and the United Kingdom,https://pureportal.coventry.ac.uk/en/publications/development-of-autonomy-on-placement-perceptions-of-physiotherapy,"[{""name"": ""Clouder, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,2 Dec 2022
Doctorate Supervision in Virtual Borderland Spaces,https://pureportal.coventry.ac.uk/en/publications/doctorate-supervision-in-virtual-borderland-spaces,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Dang, Q."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/que-anh-dang""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,16 Mar 2022
"Do governmental institutions’ readiness Influence citizens’ acceptance of e-services? Technology task fit, system quality, and facilitating conditions as antecedents",https://pureportal.coventry.ac.uk/en/publications/do-governmental-institutions-readiness-influence-citizens-accepta,"[{""name"": ""Ayoubi, R."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi""}]",,11 May 2022
Editorial: CETL-MSOR Conference Special Issue 1: Responding to the COVID-19 pandemic,https://pureportal.coventry.ac.uk/en/publications/editorial-cetl-msor-conference-special-issue-1-responding-to-the-,"[{""name"": ""Hodds, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mark-hodds""}]",,25 Mar 2022
"Editorial: CETL-MSOR Conference Special Issue 2: Innovations in teaching, learning, assessment and support",https://pureportal.coventry.ac.uk/en/publications/editorial-cetl-msor-conference-special-issue-2-innovations-in-tea,"[{""name"": ""Hodds, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mark-hodds""}]",,12 May 2022
Education for Integrated Working – A Qualitative Research Study Exploring and Contextualizing how Practitioners Learn in Practice,https://pureportal.coventry.ac.uk/en/publications/education-for-integrated-working-a-qualitative-research-study-exp,"[{""name"": ""Clouder, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}, {""name"": ""Bluteau, P."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau""}]",,2 Jan 2022
"Evaluation of the ThinkHigher Uni Connect Programme Coventry and Warwickshire, in Year 10 students",https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-thinkhigher-uni-connect-programme-coventry-and-,"[{""name"": ""Price, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/charlotte-price""}]",,30 Oct 2022
"Evaluation of the ThinkHigher Uni Connect Programme Coventry and Warwickshire, in Year 12 students",https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-thinkhigher-uni-connect-programme-coventry-and--2,"[{""name"": ""Price, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/charlotte-price""}]",,30 Oct 2022
Exploring Students' Experiences in Occupational Therapy Education: A Phenomenological Study of Professional Identity Development,https://pureportal.coventry.ac.uk/en/publications/exploring-students-experiences-in-occupational-therapy-education-,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,3 Jan 2022
Exploring the factors that impacts the self-directed learning of academic staff in universities,https://pureportal.coventry.ac.uk/en/publications/exploring-the-factors-that-impacts-the-self-directed-learning-of-,"[{""name"": ""Hasri, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/eddie-hasri""}, {""name"": ""Ayoubi, R."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi""}, {""name"": ""Mohiuddin Babu, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mujahid-mohiuddin-babu""}, {""name"": ""Ferreira, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jennifer-ferreira""}]",,11 May 2022
Exposed: Nursing Narratives – Racism and the Pandemic,https://pureportal.coventry.ac.uk/en/publications/exposed-nursing-narratives-racism-and-the-pandemic,"[{""name"": ""Fero, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/ken-fero""}]",,6 Mar 2022
Feedback and Engagement on an Introductory Programming Module,https://pureportal.coventry.ac.uk/en/publications/feedback-and-engagement-on-an-introductory-programming-module,"[{""name"": ""Grawemeyer, B."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer""}, {""name"": ""Halloran, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/john-halloran""}, {""name"": ""England, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/matthew-england""}]",,6 Jan 2022
Figures of a Gender Now Upon Us: The Transfeminine in Contemporary Queer Fiction from the Philippines,https://pureportal.coventry.ac.uk/en/publications/figures-of-a-gender-now-upon-us-the-transfeminine-in-contemporary,"[{""name"": ""Jacobo, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo""}]",,1 Jan 2022
Foreword by Prof. Katherine Wimpenny,https://pureportal.coventry.ac.uk/en/publications/foreword-by-prof-katherine-wimpenny,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,2022
Gamified flipped classroom versus traditional classroom learning: Which approach is more efficient in business education?,https://pureportal.coventry.ac.uk/en/publications/gamified-flipped-classroom-versus-traditional-classroom-learning-,"[{""name"": ""Ayoubi, R."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi""}, {""name"": ""Kamal, M. M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/muhammad-mustafa-kamal""}]",,1 Mar 2022
"Global Citizenship Education and Sustainability: overcoming contradictions, tensions, rhetoric, and ‘flaws’: Global Citizenship and Borderland Learning",https://pureportal.coventry.ac.uk/en/publications/global-citizenship-education-and-sustainability-overcoming-contra,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,6 Sept 2022
Global Learning and Assessment; How can global citizenship-oriented curricula enhance teaching training?,https://pureportal.coventry.ac.uk/en/publications/global-learning-and-assessment-how-can-global-citizenship-oriente,"[{""name"": ""Dang, Q."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/que-anh-dang""}, {""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}, {""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,2022
Higher education decolonisation: #Whose voices and their geographical locations?,https://pureportal.coventry.ac.uk/en/publications/higher-education-decolonisation-whose-voices-and-their-geographic,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,27 May 2022
Intra and Inter-Rater Reliability of a Novel Isometric Test of Neck Strength,https://pureportal.coventry.ac.uk/en/publications/intra-and-inter-rater-reliability-of-a-novel-isometric-test-of-ne,"[{""name"": ""Alsop, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sian-alsop""}, {""name"": ""Oxford, S. W."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sam-oxford""}]",,21 Dec 2022
"Knowing, Being, Relating and Expressing through Third Space Global South-North COIL: Digital Inclusion and Equity in International Higher Education",https://pureportal.coventry.ac.uk/en/publications/knowing-being-relating-and-expressing-through-third-space-global-,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Orsini-Jones, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones""}]",,May 2022
Local Authorities as actors in the emerging ‘school-led’ system in England,https://pureportal.coventry.ac.uk/en/publications/local-authorities-as-actors-in-the-emerging-school-led-system-in-,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,7 Jun 2022
